,"water.content","calories"
1,6.3,18.201
2,6.3,17.976
3,7.3,18.235
4,11.3,17.41
5,12.2,16.857
6,12.2,16.882
7,13.7,16.581
8,15.5,16.398
9,15.5,16.174
10,15.5,15.528
11,15.8,16.66
12,16.5,16.217
13,19,15.725
14,20.3,15.677
15,23.2,15.005
16,23.7,15.465
17,27,14.177
18,29.9,12.928
19,30.4,13.363
20,32.3,14.095
21,32.3,12.712
22,25,12.378
23,25.6,12.325
24,41,11.733
25,41.7,11.456
26,42.3,11.416
27,55,8.601
28,57.2,8.534
29,57.6,8.495
30,57.8,8.46
31,58.7,8.012
32,60.3,7.821
33,61,7.523
34,61.7,7.378
