No.,Sex,Habitat,Behaviour,Weight,Length,Plastron length,Gular length,Mid width,Curved width,Rear width
G1,F,Houses,Passive,1086,178,134,15,114.1,215,99.5
G2,M,Open,Walking,1311,238,163,36,125.6,220,125
G3,M,Open,Walking,1234,213,152,31,125.4,231,132.2
G4,M,Open,Walking,1119,205,155,33,117.1,219,129.5
G5,M,In bush,Feeding,1098,200,148,26,114.7,221.1,113
G6,F,Bush edge,Passive,899,160,128,17,110,199,108.1
G7,M,In bush,Feeding,1281,221,164,30,128,230,125.6
G8,F,In bush,Passive,968,179,146,13,111.3,219,111.5
G9,F,In bush,Passive,1045,179,138,19,115.2,214,111
G10,M,Bush edge,Passive,984,190,145,28,118.3,213,120.6
G11,M,In bush,Passive,1223,203,156,24,129.7,228,129.8
G12,F,In bush,Passive,1006,175,147,18,114.5,206,113.7
G13,F,Open,Feeding,1004,179,145,18,120,213,114.4
G14,F,In bush,Walking,989,170,137,21,115,212,112
G15,F,In bush,Passive,855,171,139,20,106.4,205,106.8
G16,M,In bush,Passive,1123,205,153,28,124.4,225,123.2
S1,M,Road,Passive,1197,200,148,32,124,241,125.2
S2,M,Road,Walking,959,195,142,31.5,115.5,209,118.2
S3,M,In bush,Passive,1114,206,148,29,110,219,122.9
S4,F,Bush edge,Passive,997,176,143,28,112.9,209,110.6
S5,F,Open,Passive,963,166,137,15,109.8,235,106.2
S6,F,Scrub,Passive,993,162.5,137,13,117.5,229,118.2
S7,M,Scrub,Walking,1197,201,155,27,128.1,234,127.8
S8,M,Scrub,Walking,1388,216,161,32,134,232,127.2
S9,F,Bush edge,Passive,942,171,145,19,110.8,202,106.9
S10,M,Scrub,Walking,1011,202,149,30,116.9,208,125.2
S11,M,Open,Feeding,1103,203,143,33,120.5,226,120.9
S12,M,Open,Feeding,1195,214,160,29,130,223,1245
S13,M,Bush edge,Passive,1584,250,180,37,139.1,237,139.2
S14,M,Bush edge,Passive,992,197,152,29,116,206,1241
G17,M,Open,Feeding,1059,189,143,23,116.1,221,111
G18,M,Open,Walking,1156,205,156,28,117.2,221,121
G19,M,Open,Feeding,1010,208,149,29,116,224,118.7
G20,M,Scrub,Feeding,1639,229,168,31,135,255,132.4
G21,M,Scrub,Fight,1250,216,159,29,126,230,123.4
G22,M,Scrub,Fight,1502,223,163,32,129,248,124.3
G23,M,Scrub,Fight,884,230,138,36,110.5,200,114.1
G24,M,Open,Fight,1141,214,158,27,124.1,218,121.1
G25,M,Open,Fight,1619,229,165,30,133.3,257,136.8
G26,M,Scrub,Fight,1149,207,146,30,122.1,235,118.5
G27,M,Scrub,Fight,1309,222,180,30,135.7,244,134.8
G28,M,Open,Fight,1027,204,144,27,109.1,223,112
G29,M,Open,Fight,1194,194,146,22,126.7,238,121.4
G30,F,Open,Feeding,670,162,127,19,101.8,190,104.3
G31,F,Scrub,Passive,714,156,122,15,99,185,99.3
G32,F,Scrub,Passive,869,170,134,18,114.5,188,101.4
G33,M,Scrub,Fight,1051,193,145.2,23.1,114,228,114.6
G34,M,Scrub,Fight,1238,211,158,31,131,224,125.5
G35,F,Scrub,Feeding,945,179,141.1,17,110.7,216,104.3
G36,F,Open,Walking,1079,187,139.7,20,114.1,218,117.2
G37,M,Houses,Passive,1365,229,164,33,129.5,127.3,229
G38,F,Bush edge,Passive,997,174,134.4,16,107.2,216,109.3
G39,F,Open,Walking,1237,200,157,20,124.6,215,120.7
G40,F,Bush edge,Passive,961,181,142,21,108.7,201,106.1
G41,M,Scrub,Passive,1399,225,167,25,129,240,125
G42,F,Scrub,Passive,1216,190,148,15,116.6,228,117
G43,F,Scrub,Passive,1019,183,141,19,112.8,213,113.4
S15,F,Bush edge,Passive,793,152,118,17,105.5,202,93.9
S16,M,Bush edge,Feeding,1261,201,151,25,125.6,239,118.3
S17,F,Bush edge,Passive,761,161,129,16,105,186,106.4
S18,M,Bush edge,Passive,1128,195,152,26,124,229,113.5
S19,M,Bush edge,Passive,1326,210,158,27,128.7,243,120.9
S20,F,Open,Walking,645,142,118,14,998,183,95.1
S21,M,Open,Fight,1207,216,152,33,120.8,231,119.2
S22,M,Open,Fight,1045,199,155,28,125.9,235,124.4
S23,M,Open,Fight,914,197,144,32,114.8,220,115.7
S24,J,Open,Walking,528,146,105,15,93.1,168,99.7
S25,M,Under tree,Walking,1156,210,159,28,123.1,225,125.1
S26,M,Open,Walking,1175,211,155,32,121.1,217,124.3
S27,M,Open,Walking,939,192,149,21,117.8,200,120.6
S28,M,Open,Fight,1104,192,152,21,123,223,122.9
S29,M,Open,Fight,1005,191,143,26,118.1,216,117.8
S30,M,Open,Fight,903,183,146,22,113,214,114
S31,F,Open,Mating,1087,173,139,14,116.9,218,115.1
S32,M,Bush edge,Walking,839,181,146,15,113.2,205,113.9
S33,M,Under tree,Passive,1095,203,152,26,124.1,214,120.8
S34,M,Open,Walking,847,174,133,23,113.2,218,109
S35,M,Open,Walking,960,183,138,27,110.1,214,108
S36,M,Bush edge,Passive,696,160,127,16,102.4,189,98.9
S37,M,Under tree,Passive,1098,202,151,31,123.4,233,121.2
S38,F,Under tree,Passive,660,156,130,15,102.8,185,100.1
S39,F,Under tree,Walking,806,151,128,17,108.8,192,106.8
S40,M,Open,Passive,1148,198,145,26,120,233,118
S41,M,Bush edge,Passive,874,186,145,21,117.1,204,113
S42,M,Scrub,Passive,971,198,147,27,116.8,221,122.1
S43,F,Bush edge,Passive,742,148,129,17,104.3,196,106.9
S44,M,Open,Fight,915,191,147,24,112.1,210,115.6
S45,M,Open,Fight,663,201,152,29,118.2,218,122.9
S46,F,Open,Passive,1004,163,141,18,115,210,111.2
S47,F,Bush edge,Mating,831,167,139,18,118.5,196,109.8
S48,F,Bush edge,Passive,1342,199,146,19,128.5,242,117.7
S49,F,Bush edge,Passive,882,165,134,17,114.2,205,107.2
S50,F,Bush edge,Passive,787,163,132,20,102.2,290,104
S51,F,Bush edge,Passive,823,161,134,15,106.8,199,105.7
S52,M,Bush edge,Passive,824,158,126,22,100,177,96.6
T1,M,Open,Fight,1062,186.8,150.3,27.4,123,216,113.7
T2,M,Open,Fight,1035,192.2,151.7,213,123,232,114.1
G44,F,Bush edge,Passive,839,154,134,14,104.1,200,104.2
G45,M,Bush edge,Passive,1072,204,151,25,121.3,218,119.3
G46,F,Bush edge,Passive,804,160,131,18,105.1,202,102.6
G47,F,Open,Walking,949,174,135,15,110.8,206,106.7
G48,M,Open,Fight,972,195,144,22,111.6,205,115.2
G49,M,Open,Fight,1065,190,142,21,115,228,116
G50,M,Open,Fight,1375,215,157,25,133.6,236,138.4
G51,M,Open,Fight,1138,208,151,24,122,230,116
G52,M,Open,Mating/Fight,848,181,140,20,114,204,110
G53,M,Open,Fight,1102,200,149,31,118.6,225,118.3
G54,M,Open,Fight,1084,217,158,33,117,209,122.2
G55,M,Open,Fight,1133,215,159,29,121.5,224,118
G56,M,Open,Fight,1098,195,147,24,116.7,218,116
G57,M,Open,Fight,1197,213,154,31,129.6,228,126.1
G58,M,Open,Fight,1027,196,145,24,114,214,120.4
G59,M,Open,Fight,1286,189,140,28,123.6,244,113
G60,M,Open,Fight,1281,220,155,36,128.2,239,125.7
G61,M,Open,Fight,1021,196,140,31,106.2,190,106.2
G62,M,Scrub,Fight,1261,223,156,34,128.6,235,121.2
G63,F,Scrub,Passive,861,169,139,17,113.9,195,109.4
G64,F,Scrub,Passive,936,174,139,18,113.3,218,104.5
G65,F,Scrub,Passive,1061,184,143,21,121,201,118
G66,F,Scrub,Passive,1184,193,149,23,117.5,222,118.9
G67,F,Open,Passive,688,167,136,16,109,199,102.5
G68,F,Scrub,Passive,896,165,134,19,105.6,200,105.4
G69,F,Scrub,Passive,1101,180,142,18,106.1,220,104.4
G70,F,Scrub,Passive,847,163,137,20,109,200,107.8
G71,M,Scrub,Passive,962,185,142,26,114.4,205,117.7
G72,M,Scrub,Passive,1657,230,171,30,142.1,269,132.3
G73,F,Open,Passive,1142,184,151,21,118.1,219,119.7
G74,M,Open,Fight,1291,216,161,31,127.6,234,128.4
G75,M,Open,Fight,606,154,120,19,102,174,108.2
G76,M,Open,Fight,1340,220,161,32,133.2,232,134.6
G77,F,Open,Walking,958,175,139,23,117.7,200,109.3
G78,F,Open,Basking,1027,175,134,21,115.6,225,105.2
G79,F,Open,Basking,1189,185,148,21,117.5,218,116.1
G80,F,Open,Walking,946,176,143,20,114.7,205,113.7
G81,F,Open,Walking,1112,187,144,19,114.7,211,112.5
G82,M,Open,Fight,1044,192,147,28,121.6,221,110.2
S53,M,Bush edge,Passive,1049,198,146,23,119.6,215,115.5
S54,F,Under tree,Feeding,815,167,132,14,109,197,103.4
S55,M,Under tree,Fight,1158,198,141,24,119.2,224,119.6
S56,M,Bush edge,Fight,1150,211,158,25,118.1,218,118.1
S57,M,Under tree,Fight,1109,210,152,27,117.8,213,118.7
S58,M,Under tree,Fight,1130,212,159,21,122.1,221,125.8
S59,M,Scrub,Fight,604,164,123,20,99.4,175,97
S60,M,Under tree,Fight,971,191,138,25,106.3,21.4,107.8
S61,M,Under tree,Fight,918,189,140,24,111.4,205,111.9
S62,M,Open,Fight,925,192,142,25,110.2,205,108.1
S63,M,Open,Walking,1065,194,147,18,123,221,117.1
S64,M,Open,Walking,1100,208,153,26,118,229,117
